#١#لصوص #١#الماء
#٢#لم #١#يكن #١#يمر #١#يوم #١#على #١#الملك #٠#بوليقراط #١#بلا #٢#أن #١#يحضر #٠#أورستان #١#زعيم #١#أشقياء #٠#اليونان،
#١#أو #٢#من #٣#ينيبه #١#عنه #١#من #٣#أعوانه #١#الشجعان،
#١#فيبقى #١#في #٢#حضرته #٣#برهة #١#من #١#الزمان،
#٢#ثم #١#يأمر #١#الملك #٢#من #١#يذهب #١#معه #١#إلى #٣#حيث #١#يريد،
#١#فلا #٢#يأتي #١#الليل #١#إلا #١#ويعود #١#الرسول،
#١#ومعه #٣#أسير #١#مربوط #١#بالحديد،
#٣#فتصدر #٢#الإشارة #٣#بإضافته #١#إلى #٣#ما #١#في #١#السجن #١#من #٣#عديد.
#٣#وظل #٢#الأمر #٢#كذلك #١#تسعة #١#وثلاثين #١#يوما،
#٢#بغير #٢#توقف #١#وقع #١#فيها #١#أظفار #٢#أولئك #٣#السباع،
#١#تسعة #١#وثلاثون #٣#أسيرا #١#من #٢#بني #٢#الأمصار #٣#والنواحي،
#١#ليس #١#فيهم #١#إلا #١#ملك #٣#متبع،
#١#أو #١#أمير #١#له #١#الأمراء #٢#أتباع،
#١#أو #١#بطل #١#شجاع،
#٢#انتشر #٣#ذكره #٣#وذاع،
#٢#وملأ #٢#الأسماع،
#٢#ثم #١#مرت #١#سبعة #١#أيام #١#بلا #٢#أن #١#يقبض #١#على #١#أحد #١#أو #١#يزاد #١#السجن #١#على #٢#ذلك #١#العدد،
#١#وفي #١#اليوم #١#الثامن #١#حضر #٠#أورستان #١#يضرب #١#الأرض #١#برجليه #١#كأنه #١#شيطان #١#وعيناه #٢#جمرتان،
#١#من #١#الغضب #١#مشتعلتان،
#١#فدخل #١#على #١#الملك #١#فحياه،
#٢#ثم #١#قال: #٣#لقد #٢#أوشكت #٢#أيها #١#البطل #١#الشجاع،
#٣#الذي #١#لا #١#من #١#البشر #١#ولا #١#من #٣#السباع،
#٣#لولا #٢#أن #١#نفسه #١#العالية #١#العزيزة،
#١#فضلت #٣#حلول #١#الموت،
#٣#فآثر #٢#الإقامة #٢#بقاع #١#البحر،
#١#على #٣#الوقوع #١#في #٢#ذل #٣#الاعتقال.
#١#قال: #٢#ومن #٣#ذاك #١#يا #٠#أورستان #١#وما #١#حديثه؟
#١#قال: #١#يا #٢#مولاي،
#٢#فتى #١#من #٠#مصر #١#عالى #٣#المكانة #١#في #١#الضباط،
#٣#تدل #١#زينة #١#بذلته #١#على #٢#أنه #١#من #٢#حرس #١#القصر،
#١#وكان #١#على #١#صاحبة #١#شراع،
#١#ومعه #١#ثلاثة #١#من #٢#الأتباع،
#٢#فدعوناه #٣#كعادتنا #٢#للاستسلام،
#٣#فأبت #١#نفس #٠#عصام،
#١#فزدناه #٣#حصارا،
#١#فزاد #٣#عصيانا #٢#وتكبرا،
#١#حتى #٣#بلغ #١#من #٢#حيرتي #٣#ويأسي،
#٢#أن #٣#توليته #١#بنفسي،
#٢#فظهرت #١#بطولة #٢#الفتى #١#على #١#قوتي #٣#وشدتي،
#١#حتى #١#لو #٢#لم #٣#ينجدني #١#رجالي #٢#لصار #١#البحر #١#قبري،
#١#إلى #٢#أن #٣#خانه #١#على #١#قوتنا #١#الاحتمال.
#١#وكان #٢#أن #٣#خضعت #١#البطولة #١#للعدد،
#١#فصرخ #٢#الفتى #١#صرخة #٢#تذيب #١#الأسد،
#٢#قام #١#لها #١#البحر #١#وقعد،
#١#وسمعته #١#يقول: #١#مكانك #١#يا #٠#حماس،
#٢#إن #١#الجندي #١#المصري #١#لا #١#يعرف #٣#التسليم #١#للملوك،
#٢#فكيف #١#يستسلم #١#للص #٣#متشرد،
#٢#ثم #٢#لم #١#أرى #١#يا #٢#مولاي #١#إلا #١#بالسفينة #١#تحترق،
#٢#ثم #٣#إذ #١#بها #٣#قد #١#غرقت #٣#وإذ #٢#بالفتى #٣#قد #١#غرق،
#٣#فصعب #١#على #٢#أن #١#يموت #٢#وأن #٣#يفوت #١#ساحة #١#الحرب #١#من #١#قتاله #٣#ما #٣#يفوت،
#١#بسبب #٢#إنه #١#خلق #١#لها #١#لا #١#لبطن #١#الحوت،
#٣#اتبعته #١#برجالي #٢#يغوصون #١#عليه #٢#القاع،
#٣#ويبحثون #١#عنه #١#بين #١#الأمواج #٣#وجريان #١#المياة،
#١#وما #٣#زلنا #١#نفعل #١#حتى #٢#غياب #١#النهار،
#١#فلما #٢#لم #١#ينفع #٣#البحث،
#٣#ونفضنا #١#أيدي #٣#اليأس،
#١#رجعنا #١#نبكي #٢#فقده،
#١#ونبكي #١#الشجاعة #٣#والثبات #١#بعده.
#١#فقال #١#الملك #١#وامتلأت #١#عيناه #١#بالدمع: #٢#إن #١#كانت #٢#ذاكرتي #١#صادقة #١#يا #٠#أورستان،
#١#فهذا #١#اسم #١#شاب #١#مصري #١#كان #١#لنا #١#وله #١#فيما #٣#فات #٣#شان.
#١#قال #٠#أورستان: #١#وما #٢#ذلك #١#يا #٢#مولاي؟
#١#كنت #٣#عرضت #١#على #٢#حكماء #٠#اليونان،
#٢#وحكماء #٢#معظم #١#البلدان #١#هذا #١#السؤال،
#١#وهو: #٣#«لقد #٣#بلغت #١#الزيادة #١#آخرها #١#حتى #٢#أصبحت #١#أتوقع #٣#القلة،
#١#وطالت #٣#ألفتي #١#بهذا #١#الحال #١#مع #١#الزمان،
#١#حتى #١#خفت #١#تحول #١#الحال #٣#وإعراض #١#الزمان،
#١#فهل #٢#من #٢#يصف #١#لي #٣#ما #١#يخرجني #١#من #١#هذا #٣#الذعر،
#٣#وآمن #١#به #١#الزمن #٢#أن #٢#يأتي #١#على #١#سرعة؟
» #٣#فانصب #١#علي #١#من #١#الأجوبة،
#٣#خصوصا #٣#إذ #٢#لم #١#يكن #١#من #٣#عادة #٠#لادياس #٢#أن #١#تبقى #١#خارج #١#القصر #١#بعد #١#العشاء،
#٢#فدعا #١#الملك #١#ثلاثة #١#من #٢#غلمانه #٢#الأمناء،
#١#وقال #١#لهم: #١#اذهبوا #١#فاستعجلوا #١#الأميرة #١#وهي #٣#عائدة،
#١#وقولوا #١#لها: #١#الملك #١#بانتظارك #١#على #١#المائدة،
#١#فقالوا: #٢#سمعا #٣#وطاعة،
#٣#وانصرفوا #٣#للحين،
#١#خفافا #٣#مسرعين،
#١#فما #٣#زالوا #١#بالطريق #٣#يحيطون #١#به #١#طولا #٢#وعرضا،
#١#وتأخذه #١#عيونهم #١#سماء #١#وأرضا،
#٢#فلم #٢#يأت #٣#البحث #٢#بفائدة،
#١#ولا #١#رأوا #١#الأميرة #١#لا #١#ذاهبة #١#ولا #٣#عائدة؛
#٣#وحينها #٢#اعتقد #٢#الغلمان،
#٢#أن #١#يبقى #١#منهم #١#على #١#الطريق #١#اثنان،
#٢#وأن #٣#يتقدم #١#الثالث #١#إلى #٠#حدبة #٠#البحر،
#١#وهي #٢#الغابة #٣#التي #١#سبق #١#لها #١#في #١#الفصل #١#الأول #٣#ذكر،
#٣#لعل #٢#الانشغال #١#في #١#المشي #٣#قد #١#ساق #١#الأميرة #١#إليها،
#٣#فانعطفت #١#هي #١#وأصدقاؤها #١#عليها؛
#٣#فاندفع #٢#الغلام #٣#يسعى #١#في #٣#السير #١#الأقدام،
#١#إلى #٢#أن #٢#أتى #١#مدخل #٢#الغابة #١#فدخل #٢#يبعد #١#فيها،
#١#ويضرب #١#في #٢#جوانبها،
#٣#ونواحيها،
#١#ولا #١#خائفا #١#ولا #١#جبانا،
#١#ولا #٢#حاسبا #١#للظلام #٢#حسابا،
#١#حتى #١#فاجأت #١#أذناه #١#بصوت #١#بكاء،
#١#له #١#في #١#داخل #٢#الغابة #١#خفيف #٢#رنين،
#٢#فاستدار #١#وخاف،
#٢#ثم #٣#استجمع #٣#وأنصت #١#يسمع.
#١#فخاف #٢#الغلام #١#كل #١#خوف،
#٣#وخشي #٢#أن #١#تكون #١#صاحبة #١#البكاء #١#هي #٠#لادياس،
#٣#فاندفع #١#سريع #٣#السير،
#١#يتحرك #٢#تحرك #١#الطير،
#٣#لعله #٢#يأتيها #١#قبل #٢#انتهاء #٣#الشدة؛
#٣#فينجدها #١#في #٣#شدتها #١#قبل #٢#ضياع #٢#النجدة،
#١#وهو #٣#يتحقق #١#من #١#الصوت #٣#الأفق،
#٣#لعل #٢#أن #١#يجد #١#عليه #٣#هدى،
#١#حتى #٣#بلغ #١#مكانه،
#٣#كما #٣#يبلغ #٢#الصدى #٣#مصدره،
#٣#وإذ #٣#مصدر #٣#التوجعات،
#٢#ومركز #١#البكاء،
#١#ثلاث #١#من #١#الفتيات #٢#حققهن #١#الحارس #١#في #١#ضوء #١#المصباح،
#١#فعلم #٢#أنهن #١#ممن #١#كن #١#مع #٠#لادياس،
#٢#وأن #٢#أبدانهن #١#الناعمات،
#١#في #١#الحبال #١#مربوطات،
#٣#وبشدة #١#الربط #١#ضعيفات،
#١#فحل #١#على #٣#الفور #٣#ذاك #١#الربط،
#٣#ومزق #٢#تلك #١#الحبال #١#والأطواق،
#٢#ثم #٣#أنهضهن #١#فما #١#استطعن #١#الوقوف،
#٣#وخاطبهن #٢#فضعفن #٢#كذلك #١#عن #١#الكلام،
#١#فتركهن #١#على #١#هذه #١#الحال،
#٢#وابتعد #١#قليلا؛
#٣#بحيث #١#لا #٣#يفوته #٣#حفظهن #٢#ثم #١#أخرج #١#صفارة،
#٢#وبادل #٢#رفيقيه #٢#الإشارة،
#١#فجاوباه #٢#فاستمر #١#يصفر #٢#وهما #٢#يتوجهان،
#٣#وجهة #٣#الصفير #١#حتى #١#أقتربا #١#من #٢#أقصى #٢#الغاب #٣#يهرولان،
#٣#فحين #١#رآهما #١#حدثهما #١#حديث #١#البنات،
#٢#ثم #٢#دعاهما #٣#ليعيناه #١#على #٢#حملهن #٢#حملا،
#١#والرجوع #١#بهن #١#إلى #١#القصر،
#٢#لأنهم #١#من #٣#شدة #٢#الضعف؛
#٣#بحيث #١#لا #٣#يمكنهن #٢#التحرك #١#ولا #١#الكلام،
#٣#فضلا #١#عن #١#المشي #١#على #١#الأقدام،
#١#فوافق #١#الصاحبان #١#على #٢#ذلك،
#٢#وتحمل #١#كل #١#واحد #١#من #٢#الفتيان #١#الثلاثة #١#بواحدة #١#من #١#الفتيات #١#الثلاث،
#٢#ثم #٢#ساروا #١#على #١#هذه #١#الصورة #١#راجعين #١#إلى #١#القصر،
#١#فما #١#قطعوا #٢#ثلث #٢#المسافة #١#حتى #٢#التقوا #١#في #١#طريقهم #١#بثلاثة #١#آخرين #١#من #١#الحراس،
#١#أرسلهم #١#الملك #٣#للبحث #١#عن #١#الأميرة،
#١#ومساعدين #٢#لمن #١#سبقهم #١#في #١#هذه #٢#المهمة،
#٣#فحين #١#نظر #١#رجال #١#الفريق #١#الثاني #١#إلى #١#أصحابهم #٣#وما #١#يحملون،
#٢#أفزعهم #٢#الأمر #١#وسألوا #١#عن #١#السبب #٣#فأعلموهم #١#بالأخبار،
#٢#وأنهم #٢#اضطروا #١#إلى #٢#العودة #١#بالبنات #١#إلى #١#القصر؛
#١#يشرحن #٣#واقعة #١#الحال #١#للملك،
#١#فينظر #١#في #٢#ذلك #١#نظر #٢#حكمة،
#١#أو #٣#يدبر #١#لنفسه #٢#أمرا؛
#١#فرأوه #٣#صائبا #١#عمل #٢#رفاقهم #١#هذا،
#٢#ثم #١#اتفق #١#الفريقان #١#على #٢#أن #٢#يستمر #١#الفريق #١#في #١#ذهابه #١#إلى #١#القصر،
#١#ليرفع #١#الخبر #١#إلى #١#آذان #١#الملك،
#٢#وأنه #٣#يجد #١#الثاني #١#في #٣#السير #٣#لعله #١#يقف #١#للأميرة #١#على #٢#أثر،
#١#أو #١#يجيء #١#عن #٢#أمرها #١#بخبر،
#١#على #٢#ذلك #٣#انصرف #١#الأول #١#راجعا،
#٣#واندفع #١#الثاني #١#ذاهبا.
