,0,1,2
21,ويفترش#4 الماء#3 في#3 قاعها#3 بساطا#3 سندسيا#5 لينا#3,0,2
22,وجعل#3 ينظر#3 إليها#3 تارة#4,0,2
23,ويدير#3 عينه#3 في#3 الحقول#3 المستوية#3 تارة#4 أخرى#3,0,2
24,وكان#3 المنظر#3 من#3 حوله#3 مؤلفا#4 من#3 عناصر#4 إذا#3 اجتمعت#3,0,2
25,كما#3 هى#3 الآن#4,0,2
26,أحالت#4 الحب#3 في#3 النفس#3 الحساسة#3 قلقا#4,0,2
27,وهوت#4 بالأمل#3 إلى#3 الشك#3,0,2
28,وهبطت#3 باليقين#4 إلى#3 مرتبة#3 الرجاء#4,0,2
29,ومنعت#3 الذكرى#3 أن#3 تحرك#3 الأسف#3 على#3 فائت#3,0,2
30,أو#3 الرغبة#3 أن#3 تدفع#3 إلى#3 سعي#3,0,2
31,وذلك#3 أنه#3 كان#3 أمامه#3 —#3 على#3 قدر#3 ما#3 وسعه#5 أن#3 يرى#3 —#3 هذه#3 الترعة#4 السوداء#3 ومن#3 ورائها#3 مثل#3 الجدار#3 القائم#4,0,2
32,ومن#3 خلفه#3 هو#3 أرض#3 بعضها#3 مرعى#3 فيما#3 يعلم#3,0,2
33,وبعضها#3 زرع#3 لا#3 يدري#3 أي#3 شيء#3 هو#3,0,2
34,ثم#3 فضاء#3 غير#3 مستو#3 يقوم#3 من#3 بعده#3 البيت#3 الذي#3 زايله#5 منذ#3 لحظة#3,0,2
35,وكل#3 ما#3 حوله#3 أشكال#3 ليس#3 لها#3 معارف#3 —#3 كالدرهم#3 المسيح#4 —#3 توحي#3 إلى#3 النفس#3 أي#3 شيء#3,0,2
36,ولا#3 تنطق#3 بشيء#3,0,2
37,إذ#3 كان#3 الضباب#3 لا#3 يزال#3 يكسوها#4 ثوبا#3 يزيدها#3 في#3 رأي#3 العين#3 والقلب#3 عريا#3 وتجردا#5,0,2
38,وكانت#3 السماء#3 دانية#4 مسفة#5 يحس#3 المرء#3 أنها#3 تهم#4 بالانطباق#5 على#3 الأرض#3,0,2
39,ثم#3 بدأت#3 الشمس#3 تطلع#3 حمراء#3 قانية#5 كبيرة#3 القرص#3,0,2
40,وأخذت#3 تطلق#3 أشعتها#3 الطويلة#3 المتوهجة#5 من#3 الشرق#3 فتتلقاها#4 في#3 الغرب#3 السحب#3,0,2
41,فأطراف#4 المنازل#3,0,2
42,والأكواخ#3 والنوافذ#3 ورؤوس#3 الأشجار#3,0,2
43,فالأغصان#3 النابتة#5 على#3 وجه#3 الأرض#3,0,2
44,فصارت#3 الأنفاس#3 كأنها#3 خارجة#3 من#3 فوهة#4 مدخنة#3,0,2
45,لا#3 من#3 فم#3 آدمي#3,0,2
46,وأحس#3 لطول#3 ما#3 وقف#3,0,2
47,بالبرد#3 يسري#4 من#3 قدميه#3 إلى#3 سائر#4 بدنه#3,0,2
48,فثنى#5 خطواته#3 إلى#3 الدار#3,0,2
49,وما#3 كاد#4 يفتح#3 الباب#3 المؤدي#4 إلى#4 الجناح#4 الذي#3 أفرد#4 له#3,0,2
50,حتى#3 طالعته#3 زنجية#4 لامعة#3 الجلد#3,0,2
51,منتفخة#3 الأوداج#5,0,2
52,كأنما#3 حشيت#5 أشداقها#5 قطنا#3,0,2
53,براقة#3 الأسنان#3,0,2
54,واسعة#3 العينين#3 حمراؤهما#3,0,2
55,قد#3 غرز#3 رأسها#3 المعصوب#5 بين#3 كتفيها#3 غرزا#4,0,2
56,واتصل#3 بهما#3 بلا#3 واسطة#4,0,2
57,أما#3 صدرها#3 فعريض#3 جدا#3,0,2
58,وأما#3 خصرها#3 —#3 إذا#3 جاز#3 أن#3 يسمى#3 هذا#3 خصرا#3 —#3 فهضيم#5 جدا#3,0,2
59,حتى#3 كأن#3 ما#3 نقص#3 من#3 هذا#3 زيد#4 في#3 ذاك#3,0,2
60,ويلي#5 الخصر#3 ردفان#5 ثقيلان#5 تحتهما#5 ساقان#3 قصيرتان#3 كالقمعين#3,0,2
61,فكأنهما#3 زير#5 عليه#5 إبريق#3 مقلوب#3 فوقه#3 كرة#3 ذات#4 ثقوب#3,0,2
62,والمرء#3 بايسر#3 مجهود#3 من#3 الخيال#3 يستطيع#3 أن#3 يتصورها#3 مفككة#3,0,2
63,فابتدرته#5 الزنجية#4 بقولها#3 أين#3 كنت#3 يا#3 سيدي#3,0,2
64,فلم#3 يرتح#3 إبراهيم#3 إلى#3 هذه#3 المفاجأة#3,0,2
65,ولم#3 يسره#3 لونها#3 الأسود#3 البراق#3 بعد#3 ذلك#3 الضباب#3 الذى#3 لبث#4 فيه#3,0,2
66,وكان#3 من#3 أثقل#3 الأشياء#3 على#3 نفسه#3 أن#3 يسأل#3 عن#3 روحاته#5 وغدواته#5,0,2
67,فقال#3 لها#3 أين#3 كنت#3,0,2
68,وكيف#3 يعنيك#3 هذا#3,0,2
69,لقد#3 أزعجتنا#3 جدا#3 يا#3 سيدي#3,0,2
70,ولم#3 يخطر#5 لنا#5 قط#3 أنك#3 قد#3 تخرج#3 في#3 مثل#3 هذه#5 البكرة#5 المطلولة#5,0,2
71,فحرت#5 ماذا#3 أصنع#3 و#3,0,2
72,لعلك#3 لم#3 تقلقي#3 أحدا#3 من#5 أجلي#5,0,2
73,نعم#3,0,2
74,أيقظتهم#3 جميعا#3,0,2
75,أيقظتهم#3 جميعا#3,0,2
76,ولماذا#3 بالله#3,0,2
77,أترينني#3 طفلا#3 أم#3 أنا#3 هنا#3 سجين#3,0,2
78,ولم#3 تكن#3 المسكينة#3 تتوقع#3 أن#3 يغضبه#3 سؤالها#3 وإشفاقها#3 عليه#3,0,2
79,وأفزعتها#3 نظراته#3 أكثر#3 مما#3 أفزعتها#3 لهجته#4,0,2
80,فرمت#3 بعينيها#3 إلى#3 الأرض#3 وأخذت#3 تتمتم#3 لا#3,0,2
81,لا#3,0,2
82,ياسيدى#3,0,2
83,عفوك#3,0,2
84,هذا#3 بيتك#3,0,2
85,من#3 قال#3 لك#3 إني#3 في#3 بيتي#3 يضرب#3 علي#3 نطاق#4 من#3 الخدم#3,0,2
86,أنا#3,0,2
87,أنا#3,0,2
88,لا#3 ذنب#3 لي#3,0,2
89,لقد#3 أمرتني#3 سيدتي#3 شوشو#3 قبل#3 أن#3 تنام#3 أن#3 أخبرها#3,0,2
90,فلم#3 يمهلها#3 حتى#3 تتم#3 كلامها#3,0,2
91,وصاح#3 بها#3 وقد#3 تملكه#3 غضب#3 شر#3 ما#3 فيه#3 أنه#3 يعلم#3 أن#3 لا#3 داعي#3 له#3 إذا#3 كانت#3 سيدتك#3 هي#3 التي#3 شاءت#3 أن#3 تسد#3 في#3 وجهي#3 الأبواب#3,0,2
92,فسأرحل#3 هذا#3 النهار#3,0,2
93,نعم#3 لا#3 بد#4 من#3 السفر#3,0,2
94,فلست#3 أنوى#3 أن#3 أعصب#5 رأسى#3 وأسدل#4 على#3 وجهى#3 قناعا#3,0,2
95,ودفع#3 باب#3 غرفته#3 بعنف#3,0,2
96,ودخل#3 وهو#3 يتمتم#3 بصوت#3 يزيده#3 تهدجا#5 شعوره#3 بأنه#3 مخطئ#3 في#3 غضبه#3,0,2
97,وأنه#3 تهور#3 بلا#3 مسوغ#5,0,2
98,وشرع#4 يعد#3 حقيبته#3 ويفكر#3 في#3 القيود#4 التي#3 تحيط#3 بالمرء#3 في#3 الريف#3,0,2
99,ونسي#3 أن#3 للمدن#3 أيضا#3 قيودها#4,0,2
100,ولم#3 يكن#3 صاحبنا#3 إبراهيم#3 قد#3 بلغ#3 سن#3 الفلسفة#4,0,2
101,أو#3 إن#3 شئت#3 فقل#3 سن#3 التبلد#4 أو#3 الحزم#4 أو#3 ما#3 تحب#3 غيرهما#3,0,2
102,وإن#3 كان#3 بطبعه#3 لا#3 طياشا#5 ولا#3 قليل#3 التؤدة#5,0,2
103,وكان#3 من#3 ذلك#3 الطراز#4 الذي#3 نستطيع#3 أن#3 نقول#3 إن#3 الله#3 وهبة#3 كل#3 شىء#3,0,2
104,إلا#3 القدرة#3 على#3 الانتفاع#4 بالحياة#3 والتوفيق#3 فى#3 الدنيا#3,0,2
105,وإن#3 يكن#3 اشبه#4 بالنساء#3 في#3 المرونة#3 وسرعة#3 التكيف#4,0,2
106,وكان#3 عظيم#3 الاعتداد#5 بنفسه#3 شديد#3 الاعتماد#3 عليها#3 ولكن#3 من#3 غير#3 أن#3 يشوب#5 ذلك#3 الكبرياء#3 والتقحم#5 على#3 الناس#3,0,2
107,وفيه#3 أنفة#5 كثيرا#3 ما#3 كانت#3 تبلغ#3 درجة#3 البلاهة#3,0,2
108,وقد#3 غلب#3 عليه#3 الكاتب#3 وصار#3 لقبا#4 وعلما#3 عليه#3 كما#3 حدث#3 لعبد#3 الحميد#3 من#3 قبله#3 بقرون#3 طويلة#3 المدد#4,0,2
109,ولم#3 تكن#3 مزيته#5 الابتكار#3 أو#3 العمق#3 بل#3 إنه#3 ما#3 من#3 فكرة#3 يتناولها#3 إلا#3 وسعه#5 أن#3 يجلوها#4 في#3 أحسن#3 معرض#4,0,2
110,وإلا#3 استطاع#3 —#3 إذا#3 لم#3 تكن#3 مما#3 ابتكر#3 —#3 أن#3 يضيف#3 إليها#3 ويزيد#3 عليها#3 ما#3 ليس#3 دونها#4,0,2
111,على#3 أن#3 أبرز#3 مزاياه#5 كانت#3 أن#3 أسلوبه#3 صورة#3 لنفسه#3 ليطلع#4 على#3 كل#3 ما#3 فيها#3,0,2
112,وأن#3 يجيلها#5 فيما#3 هو#3 خارج#3 عنه#3 ليحيط#3 بكل#3 ما#3 وراءها#3,0,2
113,ولكنه#3 قلما#3 رأى#3 شيئا#3 خارجها#3 إلا#3 من#3 خلالها#3,0,2
114,وكان#3 على#3 قوة#3 طبعه#3 شديد#3 الحياء#3 كثير#3 الحذر#4 ولا#5 سيما#5 مع#3 النساء#3 اللواتي#3 لم#3 يألف#4 مجالسهن#4 إلا#3 العائليه#3,0,2
115,ولم#3 يكن#3 احترامه#3 لهن#3 كبيرا#3 وإن#3 كان#3 على#3 ذلك#3 لا#3 يحتقرهن#3,0,2
116,وعنده#3 أن#3 المرأة#3 أداة#3 لبقاء#3 النوع#3,0,2
117,وإن#3 جمالها#3 ليس#3 إلا#3 شركا#4 تنصبه#4 الحياة#3 ويحسن#3 كثيرا#3 أن#3 يتجنبه#3,0,2
118,وإن#3 الرجل#3 أجمل#3 من#3 المرأة#3 على#4 العموم#4,0,2
119,لأن#3 جمال#3 الرجل#3 الجميل#3 لا#3 يستمد#4 أكثر#3 فتنته#4 —#3 كجمال#3 المرأة#3 —#3 من#3 الغريزة#4 النوعية#5,0,2
120,وكان#3 سلوكه#3 إزاء#4 المرأة#3 مظهرا#3 لرأيه#3 فيها#3 —#3 ونعني#3 أنه#3 كان#3 يعدها#3 مخلوقا#3 جديرا#3 بالعطف#3 والمداعبة#3 في#3 غير#3 ضعف#3 ودون#4 أن#3 يمنع#3 ذلك#3 أن#3 تحكمها#3 دائما#3 وتلزمها#3 طاعتك#3,0,2
121,ومن#3 سخر#5 الأقدار#3 أن#3 هذه#3 الطبيعة#3 القوية#3 المتمردة#4 إلى#3 حد#3 كبير#3 تكون#3 في#3 جسم#3 ضئيل#3 هزيل#3 لا#3 يحتمل#3 شيئا#3,0,2
122,فقد#3 كان#3 صاحبنا#3 قصيرا#3 ضامر#4 الجسم#3 دقيق#3 العظام#3 واهي#4 التركيب#3,0,2
123,وليس#3 فيه#3 شىء#3 ينم#5 على#3 هذه#3 القوة#3 التي#3 انطوى#5 عليها#3 إلا#3 وجهه#3,0,2
124,أو#3 بعبارة#3 أدق#3 جبهته#3 الواسعة#3 العريضة#3 المتألقة#3,0,2
125,وعيناه#3 الواسعتان#3 الحادتان#3,0,2
126,وهامته#5 المستطيلة#3 القوية#3,0,2
127,وأنفه#3 الكبير#3 الأقنى#5,0,2
128,وشفته#3 المقوسة#3 الغليظة#3 بعض#3 الغلظ#5,0,2
129,على#3 أن#3 قوته#3 تنحصر#4 على#3 الاكثر#3 في#3 جبهته#3 وعينيه#3,0,2
130,ولم#3 يكن#3 يخفى#3 عليه#3 هذا#3 السر#3,0,2
131,فكان#3 يبلغ#3 بنظرة#3 يسددها#3 ما#3 لا#3 يبلغه#3 الرجل#3 الضخم#3 بالعصا#3 في#3 يده#3,0,2
132,ولكنه#3 كان#3 على#3 ذلك#3 رضي#3 الطباع#4,0,2
133,دمث#5 الأخلاق#3,0,2
134,سريع#3 الفيء#5 إلى#3 الرضى#3,0,2
135,ودخلت#3 عليه#3 شوشو#3 وهو#3 لا#3 يحسها#3,0,2
136,ووقفت#3 خلفه#3 وهو#3 مشتغل#5 بنزع#3 غطاء#3 حقيبته#3,0,2
137,ووضعت#3 كفيها#3 على#3 عينيه#3,0,2
138,فأمسك#3 بها#3 ونزعها#3 عنه#3 برفق#3 وقال#3 آه#3,0,2
139,شوشو#3,0,2
140,نعم#3 أنا#3 شوشو#3,0,2
141,من#3 كنت#3 تحسبني#3,0,2
142,فاحمر#3 وجهه#3 الأسمر#3 قليلا#3 وابتسم#3,0,2
143,وكانت#3 لآخر#3 عهده#4 بها#3 قبل#3 عام#3 طفلة#3 ألفاها#5 في#3 هذه#4 اللقية#4 امرأة#3 بارعة#3 الشكل#3 ممشوقة#5 القد#3,0,2
144,تغترف#4 العين#3 بشارتها#5 وترتاح#3 النفس#3 إلى#3 نظرتها#5 سوداء#3 العينين#3 عميقتهما#3,0,2
145,ذهبية#3 الشعر#3 ترسله#3 أمواجا#3 على#3 كتفيها#3,0,2
146,بيضاء#3 مشرقة#3,0,2
147,حمراء#3 الخدين#3 قرمزية#5 الشفتين#3 لينتهما#3 عينها#3 نار#3,0,2
148,ولحظها#5 حب#3,0,2
149,وصوتها#3 تغريد#3,0,2
150,وقوامها#4 أتم#3 ما#3 يكون#3 استواء#3 وصحة#3 وعزما#4 ونشاطا#3,0,2
151,وحركتها#3 مملوءة#3 ظرفا#3 ورشاقة#3,0,2
152,رقيقة#3 كأنها#3 النسيم#3,0,2
153,جليلة#3 كأنها#3 ملكة#3,0,2
154,ذائبة#3 حينا#3,0,2
155,متدللة#5 متجبرة#4 أحيانا#3,0,2
156,ساخرة#3 طورا#5,0,2
157,وطورا#5 ساذجة#4 غريرة#5,0,2
158,جميلة#3 في#3 كل#3 حال#3,0,2
159,وقالت#3 وهى#3 تعتمد#3 أن#3 تتجاهل#3 معنى#3 ما#3 يفعل#3 دعني#5 أخرج#3 لك#3 ما#3 تريد#3 من#3 الثياب#3,0,2
160,إن#3 هذا#3 عمل#3 النساء#3 لا#3 الرجال#3,0,2
161,اصعد#3 أنت#3 إلى#3 فوق#3 فإنهم#3 ينتظرونك#3 ليفطروا#3 معك#3 وسأعد#3 لك#3 كل#3 شيء#3,0,2
162,ولكنك#3 لا#3 تعرفين#3 ماذا#3 أبغى#3,0,2
163,أعرف#3 كل#3 شيء#3,0,2
164,وماذا#3 تستطيع#3 أنت#3 أن#3 تعرف#3 أكثر#3 مني#3,0,2
165,إنك#3 كالطفل#3 الصغير#3 يحتاج#3 حتى#3 إلى#3 من#3 يلبسه#3 الجورب#3,0,2
166,فلم#3 يدر#3 أعرفت#3 وتجاهلت#3 أم#3 هي#3 لا#3 تعلم#3 شيئا#3 مما#3 حدث#3,0,2
167,وكانت#3 نفسه#3 قد#3 سكنت#3 فآثر#3 أن#3 يطوي#3 الأمر#3,0,2
168,وبدا#4 له#3 أن#3 هذا#3 خير#3 ما#3 يمكن#3 أن#3 يصنع#3,0,2
169,وقال#3 مغالطا#5 ولكني#3 لا#3 أعرف#3 من#3 أين#3 أصعد#3,0,2
170,إذا#3 لنبدأ#3 بالصعود#3 وبعد#3 ذلك#3 نعود#3 إلى#3 هذه#3 الحقيقة#3,0,2
171,أليس#3 كذلك#3,0,2
172,نعم#3,0,2
173,هيا#3 إذا#3,0,2
174,ووضعت#3 كفها#3 على#3 كتفه#3 اليمنى#3 وجعلت#3 تطفر#5 إلى#3 جوانبه#3 وتتواثب#5 كالفراشة#3,0,2
175,,0,2
176,الفصل#3 الثالث#3,0,3
177,كل#3 لتكون#3 فيك#3 قوة#3 إذ#3 تسير#3 في#3 الطريق#3,0,3
178,صعد#3 إبراهيم#3 وشوشو#3 —#3 أم#3 ترى#3 ينبغي#3 أن#3 نقول#3 شوشو#3 وإبراهيم#3,0,3
179,إلى#3 غرفة#3 الطعام#3 فألفيا#5 حول#3 المائدة#3 نجية#3 كبرى#3 أخوات#3 شوشو#3,0,3
180,وابنيها#3,0,3
181,وهي#3 سيدة#3 جميلة#3 الوجه#3,0,3
182,ولكنها#3 ضخمة#3 الجسم#3 مترهلة#4 اللحم#3,0,3
183,ذات#4 معدة#3 —#3 وما#3 لنا#3 لا#3 نقول#3 كرشا#3,0,3
184,—#3 تمشى#3 أمامها#3,0,3
185,ولها#3 إيمان#3 راسخ#4 بالمشائين#5 في#3 الظلام#3,0,3
186,ونعني#3 بهم#3 الشياطين#3 والعفاريت#3 والأرواح#3,0,3
187,وبأولياء#4 الله#3 الصالحين#3,0,3
188,غير#3 أن#3 إيمانها#3 بأولئك#3 أقوى#3 وأعمق#3 منه#3 بهؤلاء#3,0,3
189,وأكثر#3 ما#3 تدور#3 أحاديثها#3 وقصصها#3 بالليل#3 عنهم#3,0,3
190,وما#3 أقل#3 من#3 لم#3 تقل#3 له#3 لا#3 شك#3 أنك#3 رأيت#3 عفريتا#3,0,3
191,لقد#3 رأيتهم#3 انا#3 بعينى#3 هذه#3 مرات#3 عديدة#3 في#3 البيت#3 وحوله#3,0,3
192,ولكنهم#3 لا#3 يؤذونك#3 إلا#3 إذا#3 كلمتهم#3 أو#3 تعرضت#3 لهم#3,0,3
193,وللعفاريت#3 معها#3 حادثة#3 لا#3 تكف#3 عن#3 ذكرها#3 كلما#3 عرضت#3 مناسبة#3,0,3
194,وتلك#3 أنها#3 فيها#3 مضى#4 من#3 الزمن#3 وفي#3 مفتتح#5 حياتها#3 مع#3 زوجها#3,0,3
195,قامت#3 بالليل#3 إلى#3 حاجتها#3 واستصحبت#4 معها#3 خادمتها#3 فاطمة#3 الزنجية#4 التي#3 عرفتها#3 في#3 الفصل#3 السابق#3,0,3
196,فلم#3 تكد#4 تبلغ#3 الحمام#3 حتى#3 سمعت#3 وقع#4 حوافر#4 المعيز#3 صاعدة#3 ونازلة#4 على#3 السلم#3,0,3
197,وعابثة#4 في#3 المطبخ#3,0,3
198,فصرخت#3 وعادت#3 تعدو#5 إلى#3 غرفتها#3 ولكن#3 زوجها#3 أبى#3 أن#3 يصدق#3 أو#3 يلتفت#4 إلى#4 سبب#4 فزعها#3 فلما#3 أصبحنا#5 وجدنا#3 كل#3 الأطباق#3 التي#3 كانت#3 في#3 المطبخ#3 مكسرة#3,0,3
199,ووجدنا#3 ثلاثة#3 من#3 الغنم#3 ميتة#3,0,3
200,فهل#3 كسرت#3 الأطباق#3 نفسها#3,0,3
201,ومع#3 ذلك#3 يأبى#3 ابن#3 عمي#3 (#3 أى#4 زوجها#3 )#3 أن#3 يصدق#3,0,3
202,وتضرب#3 بطن#3 يسراها#3 على#3 ظهر#3 يمناها#3 فوق#3 كرشها#3 الكروية#3 ومن#5 أجل#5 هذا#3 تعنى#3 قبل#3 الذهاب#3 إلى#3 مخدعها#5 بأن#3 تمر#3 بغرفة#3 بنيها#3,0,3
203,ومن#3 تكون#3 في#3 ضيافتها#3 من#3 أخواتها#3,0,3
204,وأن#3 تمسح#3 رؤوسهم#3 وتتلو#3 آية#3 الكرسي#3 ثم#3 تستودعهم#4 الله#3 وتمضي#4,0,3
205,وهي#3 من#3 الطراز#4 المحافظ#4 الذي#3 يستنكر#3 كل#3 جديد#3 ويعده#3 بدعة#4 يجب#3 أن#3 يستغفر#3 الله#3 منها#3 ويعاذ#3 به#3 من#3 شرها#3,0,3
206,ولزوجها#3 بيت#3 في#3 رمل#3 الإسكندرية#3 مد#3 إليه#3 أسلاك#3 الكهرباء#3 فاعترضت#3 وقاومت#3 ما#3 استطاعت#3,0,3
207,فلما#3 أعياها#5 الأمر#3 وأصر#3 زوجها#3 على#3 الكهرباء#3 أبت#3 كل#3 الإباء#4 أن#3 تدخلها#3 غرفة#3 نومها#3,0,3
208,فرأى#3 زوجها#3 أن#3 يرضيها#3 بهذه#3 التضحية#3 الصغيرة#3,0,3
209,ولا#3 يزال#3 البيت#3 تضيئه#3 الكهرباء#3 إلا#3 هذه#3 الغرفة#3 التي#3 بقيت#3 كأنها#3 قطعة#3 ممتلكة#3 من#3 الزمن#3 الغابر#5,0,3
210,وجهز#3 زوجها#3 الحمام#3 بالأدوات#3 الحديثة#3 فأغضبها#3 منه#3 هذا#3,0,3
211,وأصرت#3 على#3 الاستحمام#3 في#3 الطشت#3 وإهمال#3 الحوض#3,0,3
212,أما#3 التليفون#3 فله#3 في#3 بيتها#3 بالرمل#3 عشر#3 سنوات#3 ومع#3 ذلك#3 لا#3 تعرف#3 كيف#3 تستعمله#3,0,3
213,وتقول#3 شوشو#3 عنها#3 إنها#3 تطلب#3 الرقم#3 هكذا#3 ٩#3 الرمل#3 ١٥#3 بدلا#3 من#3 الرمل#3 ١٥٩#3 مثلا#3,0,3
214,ومقياس#3 الصحة#3 عندها#3 مقدار#3 ما#3 يصيبه#3 المرء#3 من#3 طعام#3,0,3
215,فأصح#5 الناس#3 من#3 يلتهمه#3 التهاما#3 ويأتى#3 على#3 ما#3 أمامه#3 كأنه#3 لن#3 يصيب#3 رزقه#3 غدا#3,0,3
216,بل#3 قيمة#3 المرء#3 رهن#4 بذلك#4,0,3
217,فأحق#3 الناس#3 بالإكبار#5 الأكول#3 البطين#5 أما#3 من#3 يأكل#3 بقدر#3 أو#3 لا#3 يأكل#3 حتى#3 يجوع#3 فهو#3 طفل#3 لم#3 يكبر#3 ولم#3 يشب#4 عن#4 الطوق#3 ولو#3 جلله#3 الشيب#3 وقوست#3 قناته#5 السنون#3 أو#3 الحادثات#3,0,3
218,وأثمن#3 ما#3 تهديه#3 من#3 النصائح#3 إلى#3 المريض#3 أو#3 الضعيف#3 أو#3 الحزين#3 أن#3 كل#3 ثم#3 كل#3 ثم#3 كل#3,0,3
219,هذا#3 عندنا#3 الدواء#3 من#3 الحمى#3 والمغص#3 والصداع#3 الخ#3,0,3
220,ولا#3 تصدق#3 الأطباء#3 فإنهم#3 يميتون#3 الناس#3 قبل#3 أن#3 تفرغ#3 آجالهم#3,0,3
221,وما#3 بعجيب#3 بعد#3 ذلك#3 أن#3 صغر#3 في#3 عينها#3 صاحبنا#3 إبراهيم#3 وإن#3 كان#3 قد#3 ناهز#5 الثامنة#3 والعشرين#3 وماتت#3 له#3 زوجة#3 وبنون#3 لم#3 يعش#3 منهم#3 إلا#3 واحد#3,0,3
222,وجعلت#3 تسأله#3 على#3 الطعام#3 عن#3 صحته#3,0,3
223,وعن#3 العملية#3 الجراحية#4 التي#3 أجريت#3 له#3 وكيف#3 احتمل#3 الكلوروفورم#3 —#3 أو#3 البنج#3 كما#3 تعرفه#3 —#3 وعن#3 المستشفى#3 الذي#3 أقام#3 به#3 حتى#3 شفي#3 وتقول#3 يا#3 ابن#3 خالتي#3,0,3
224,كيف#3 رضيت#3 بالبنج#3,0,3
225,فيقول#3 وهل#3 كان#3 من#3 الممكن#3 أن#3 أحتمل#3 العملية#3 بغير#3 ذلك#3,0,3
226,فتهز#3 رأسها#3 غير#3 مصدقة#5,0,3
227,وتسأل#3 وهل#3 كانت#3 العملية#3 ضرورية#3,0,3
228,لقد#3 لبثت#4 لا#3 أنام#3 منذ#3 علمت#3 بخبرها#3,0,3
229,حتى#3 طمأنني#3 ابن#3 عمي#3 وأنبأني#3 أنك#3 خرجت#3 من#3 المستشفى#3,0,3
230,ومع#3 ذلك#3 لم#3 أطمئن#3 تماما#3 إلا#3 بعد#3 أن#3 علمت#3 أنك#3 آت#3 إلينا#3,0,3
231,وكيف#3 صحتك#3 الآن#4,0,3
232,كما#3 ترين#3,0,3
233,حسنة#3,0,3
234,لقد#3 كان#3 دخولك#3 المستشفى#3 حماقة#4,0,3
235,فكر#3,0,3
236,إن#3 المستشفى#3 كالمجزرة#4,0,3
237,ولا#3 بد#4 أنه#3 مملوء#3 بالعفاريت#3,0,3
238,لا#3,0,3
239,لا#3,0,3
240,لا#3 عفاريت#3 ولا#3,0,3
241,كيف#3 يمكن#3,0,3
242,الدم#3,0,3
243,والذين#3 يموتون#3 فيه#3,0,3
244,إن#3 بيتنا#3 هذا#3 جديد#3,0,3
245,ومع#3 ذلك#3 فيه#3 عفاريت#3,0,3
246,ولو#3 كان#3 زوجي#3 هنا#3 لقص#5 عليك#4 كيف#3 تطلع#3 وتنزل#3 كالمعيز#3 على#3 السلم#3 الخشبي#3,0,3
247,ابن#3 ابن#3 خالتي#3 ينام#3 وحده#4 في#3 ذلك#3 الجناح#3,0,3
248,ولا#3 يحسن#3 أن#3 يعرف#3 هذه#3 الحكاية#3 التي#3 سمعناها#3 مائة#3 مرة#3,0,3
249,فقال#3 إبراهيم#3 دعيها#5 يا#3 شوشو#3 تقصها#5,0,3
250,فإن#3 سير#3 العفاريت#3 لا#3 تفزعني#3,0,3
251,ولكم#3 تمنيت#3 أن#3 يظهر#3 لي#3 عفريت#3,0,3
252,ولكم#3 سرت#3 عمدا#5 بين#3 المقابر#4 في#3 الظلام#3 الحالك#4,0,3
253,آملا#4 أن#3 أرى#3 واحدا#3,0,3
254,فصاحت#3 به#3 نجية#3 ماذا#3 تقول#3,0,3
255,أمجنون#3 أنت#3,0,3
