,text,level
205,لأن جمال الرجل الجميل لا يأخذ أكثر جماله — كجمال المرأة — من الرغبة المميزة,3
206,وكان سلوكه إزاء المرأة مظهرا لرأيه فيها — ونعني أنه كان يعدها مخلوقا جديرا بالعطف والمداعبة في غير ضعف ودون أن يمنع ذلك أن تحكمها دائما وتلزمها طاعتك,4
207,وكان سلوكه باتجاه المرأة مظهرا لرأيه فيها — ونعني أنه كان يعدها مخلوقا جديرا بالعطف والمداعبة في غير ضعف وبلا أن يمنع ذلك أن تحكمها دائما وتلزمها طاعتك,3
208,ومن سخر الأقدار أن هذه الطبيعة القوية المتمردة إلى حد كبير تكون في جسم ضئيل هزيل لا يحتمل شيئا,5
209,ومن استهزاء الأقدار أن هذه الطبيعة القوية المتمردة إلى حد كبير تكون في جسم ضئيل هزيل لا يحتمل شيئا,4
210,ومن استهزاء الأقدار أن هذه الطبيعة القوية الثائرة إلى حد كبير تكون في جسم ضئيل هزيل لا يحتمل شيئا,3
211,فقد كان صاحبنا قصيرا ضامر الجسم دقيق العظام واهي التركيب,4
212,فقد كان صاحبنا قصيرا ضئيل الجسم دقيق العظام ضعيف التركيب,3
213,وليس فيه شىء ينم على هذه القوة التي انطوى عليها إلا وجهه,5
214,وليس فيه شىء يدل على هذه القوة التي احتوى عليها إلا وجهه,3
215,أو بعبارة أدق جبهته الواسعة العريضة المتألقة,3
216,وعيناه الواسعتان الحادتان,3
217,وهامته المستطيلة القوية,5
218,ورأسه المستطيلة القوية,3
219,وأنفه الكبير الأقنى,5
220,وأنفه الكبير الملتوي,3
221,وشفته المقوسة الغليظة بعض الغلظ,5
222,وشفته المقوسة الغليظة بعض السمك,3
223,على أن قوته تنحصر على الاكثر في جبهته وعينيه,4
224,على أن قوته تختصر على الاكثر في جبهته وعينيه,3
225,ولم يكن يخفى عليه هذا السر,3
226,فكان يبلغ بنظرة يسددها ما لا يبلغه الرجل الضخم بالعصا في يده,3
227,ولكنه كان على ذلك رضي الطباع,4
228,ولكنه كان على ذلك رضي الطبيعة,3
229,دمث الأخلاق,5
230,حسن الأخلاق,3
231,سريع الفيء إلى الرضى,5
232,سريع الرجوع إلى الرضى,3
233,ودخلت عليه شوشو وهو لا يحسها,3
234,ووقفت خلفه وهو مشتغل بنزع غطاء حقيبته,5
235,ووقفت خلفه وهو مشغول بنزع غطاء حقيبته,3
236,ووضعت كفيها على عينيه,3
237,فأمسك بها ونزعها عنه برفق وقال آه,3
238,شوشو,3
239,نعم أنا شوشو,3
240,من كنت تحسبني,3
241,فاحمر وجهه الأسمر قليلا وابتسم,3
242,وكانت لآخر عهده بها قبل عام طفلة ألفاها في هذه اللقية امرأة بارعة الشكل ممشوقة القد,5
243,وكانت لآخر عهده بها قبل عام طفلة وجدها في هذه اللقية امرأة بارعة الشكل رشيقة القد,4
244,وكانت لآخر معرفته بها قبل عام طفلة وجدها في هذا اللقاء امرأة بارعة الشكل رشيقة القد,3
245,تغترف العين بشارتها وترتاح النفس إلى نظرتها سوداء العينين عميقتهما,5
246,تغترف العين بجمالها وترتاح النفس إلى نظراتها سوداء العينين عميقتهما,4
247,تأخذ العين بجمالها وترتاح النفس إلى نظراتها سوداء العينين عميقتهما,3
248,ذهبية الشعر ترسله أمواجا على كتفيها,3
249,بيضاء مشرقة,3
250,حمراء الخدين قرمزية الشفتين لينتهما عينها نار,5
251,حمراء الخدين حمراء الشفتين لينتهما عينها نار,3
252,ولحظها حب,5
253,ونظرتها حب,3
254,وصوتها تغريد,3
255,وقوامها أتم ما يكون استواء وصحة وعزما ونشاطا,4
256,وجسمها أتم ما يكون استواء وصحة وتصميما ونشاطا,3
257,وحركتها مملوءة ظرفا ورشاقة,3
258,رقيقة كأنها النسيم,3
259,جليلة كأنها ملكة,3
260,ذائبة حينا,3
261,متدللة متجبرة أحيانا,5
262,مدللة متجبرة أحيانا,4
263,مدللة مسيطرة أحيانا,3
264,ساخرة طورا,5
265,ساخرة مرة,3
266,وطورا ساذجة غريرة,5
267,ومرة ساذجة مغفلة,4
268,ومرة حمقاء مغفلة,3
269,جميلة في كل حال,3
270,وقالت وهى تعتمد أن تتجاهل معنى ما يفعل دعني أخرج لك ما تريد من الثياب,5
271,وقالت وهى تعتمد أن تتجاهل معنى ما يفعل اتركني أخرج لك ما تريد من الثياب,3
272,إن هذا عمل النساء لا الرجال,3
273,اصعد أنت إلى فوق فإنهم ينتظرونك ليفطروا معك وسأعد لك كل شيء,3
274,ولكنك لا تعرفين ماذا أبغى,3
275,أعرف كل شيء,3
276,وماذا تستطيع أنت أن تعرف أكثر مني,3
277,إنك كالطفل الصغير يحتاج حتى إلى من يلبسه الجورب,3
278,فلم يدر أعرفت وتجاهلت أم هي لا تعلم شيئا مما حدث,3
279,وكانت نفسه قد سكنت فآثر أن يطوي الأمر,3
280,وبدا له أن هذا خير ما يمكن أن يصنع,4
281,وظهر له أن هذا خير ما يمكن أن يصنع,3
282,وقال مغالطا ولكني لا أعرف من أين أصعد,5
283,وقال مخادعا ولكني لا أعرف من أين أصعد,3
284,إذا لنبدأ بالصعود وبعد ذلك نعود إلى هذه الحقيقة,3
285,أليس كذلك,3
286,نعم,3
287,هيا إذا,3
288,ووضعت كفها على كتفه اليمنى وجعلت تطفر إلى جوانبه وتتواثب كالفراشة,5
289,ووضعت كفها على كتفه اليمنى وجعلت تنط إلى جوانبه وتقفز كالفراشة,3
290,,3
291,الفصل الثالث,3
292,كل لتكون فيك قوة إذ تسير في الطريق,3
293,صعد إبراهيم وشوشو — أم ترى ينبغي أن نقول شوشو وإبراهيم,3
294,إلى غرفة الطعام فألفيا حول المائدة نجية كبرى أخوات شوشو,5
295,إلى غرفة الطعام فوجدا حول المائدة نجية كبرى أخوات شوشو,3
296,وابنيها,3
297,وهي سيدة جميلة الوجه,3
298,ولكنها ضخمة الجسم مترهلة اللحم,4
299,ولكنها ضخمة الجسم طرية اللحم,3
300,ذات معدة — وما لنا لا نقول كرشا,4
301,صاحبة معدة — وما لنا لا نقول كرشا,3
302,— تمشى أمامها,3
303,ولها إيمان راسخ بالمشائين في الظلام,5
304,ولها إيمان راسخ بكثيري المشي في الظلام,4
305,ولها إيمان قوي بكثيري المشي في الظلام,3
306,ونعني بهم الشياطين والعفاريت والأرواح,3
307,وبأولياء الله الصالحين,4
308,وبأحباء الله الصالحين,3
309,غير أن إيمانها بأولئك أقوى وأعمق منه بهؤلاء,3
310,وأكثر ما تدور أحاديثها وقصصها بالليل عنهم,3
311,وما أقل من لم تقل له لا شك أنك رأيت عفريتا,3
312,لقد رأيتهم انا بعينى هذه مرات عديدة في البيت وحوله,3
313,ولكنهم لا يؤذونك إلا إذا كلمتهم أو تعرضت لهم,3
314,وللعفاريت معها حادثة لا تكف عن ذكرها كلما عرضت مناسبة,3
315,وتلك أنها فيها مضى من الزمن وفي مفتتح حياتها مع زوجها,5
316,وتلك أنها فيها مضى من الزمن وفي بداية حياتها مع زوجها,4
317,وتلك أنها فيها مر من الزمن وفي بداية حياتها مع زوجها,3
318,قامت بالليل إلى حاجتها واستصحبت معها خادمتها فاطمة الزنجية التي عرفتها في الفصل السابق,4
319,قامت بالليل إلى حاجتها وصحبت معها خادمتها فاطمة السوداء التي عرفتها في الفصل السابق,3
320,فلم تكد تبلغ الحمام حتى سمعت وقع حوافر المعيز صاعدة ونازلة على السلم,4
321,فلم توشك أن تبلغ الحمام حتى سمعت صوت أقدام المعيز صاعدة وهابطة على السلم,3
322,وعابثة في المطبخ,4
323,ولاعبة في المطبخ,3
324,فصرخت وعادت تعدو إلى غرفتها ولكن زوجها أبى أن يصدق أو يلتفت إلى سبب فزعها فلما أصبحنا وجدنا كل الأطباق التي كانت في المطبخ مكسرة,5
325,فصرخت وعادت تركض إلى غرفتها ولكن زوجها أبى أن يصدق أو يلتفت إلى سبب فزعها فلما حل الصباح وجدنا كل الأطباق التي كانت في المطبخ مكسرة,4
326,فصرخت وعادت تركض إلى غرفتها ولكن زوجها أبى أن يصدق أو يهتم بسبب فزعها فلما حل الصباح وجدنا كل الأطباق التي كانت في المطبخ مكسرة,3
327,ووجدنا ثلاثة من الغنم ميتة,3
328,فهل كسرت الأطباق نفسها,3
329,ومع ذلك يأبى ابن عمي ( أى زوجها ) أن يصدق,4
330,ومع ذلك يأبى ابن عمي ( تعني زوجها ) أن يصدق,3
331,وتضرب بطن يسراها على ظهر يمناها فوق كرشها الكروية ومن أجل هذا تعنى قبل الذهاب إلى مخدعها بأن تمر بغرفة بنيها,5
332,وتضرب بطن يسراها على ظهر يمناها فوق كرشها الكروية وبسبب هذا تعنى قبل الذهاب إلى غرفتها بأن تمر بغرفة بنيها,3
333,ومن تكون في ضيافتها من أخواتها,3
334,وأن تمسح رؤوسهم وتتلو آية الكرسي ثم تستودعهم الله وتمضي,4
335,وأن تمسح رؤوسهم وتتلو آية الكرسي ثم تركتهم بأمانة الله وتذهب,3
336,وهي من الطراز المحافظ الذي يستنكر كل جديد ويعده بدعة يجب أن يستغفر الله منها ويعاذ به من شرها,4
337,وهي من النوع التقليدي الذي يستنكر كل جديد ويعده ضلالة يجب أن يستغفر الله منها ويعاذ به من شرها,3
338,ولزوجها بيت في رمل الإسكندرية مد إليه أسلاك الكهرباء فاعترضت وقاومت ما استطاعت,3
339,فلما أعياها الأمر وأصر زوجها على الكهرباء أبت كل الإباء أن تدخلها غرفة نومها,5
340,فلما أجهدها الأمر وأصر زوجها على الكهرباء أبت كل الإباء أن تدخلها غرفة نومها,4
341,فلما أجهدها الأمر وأصر زوجها على الكهرباء أبت كل الرفض أن تدخلها غرفة نومها,3
342,فرأى زوجها أن يرضيها بهذه التضحية الصغيرة,3
343,ولا يزال البيت تضيئه الكهرباء إلا هذه الغرفة التي بقيت كأنها قطعة ممتلكة من الزمن الغابر,5
344,ولا يزال البيت تضيئه الكهرباء إلا هذه الغرفة التي بقيت كأنها قطعة ممتلكة من الزمن الماضي,3
345,وجهز زوجها الحمام بالأدوات الحديثة فأغضبها منه هذا,3
346,وأصرت على الاستحمام في الطشت وإهمال الحوض,3
347,أما التليفون فله في بيتها بالرمل عشر سنوات ومع ذلك لا تعرف كيف تستعمله,3
348,وتقول شوشو عنها إنها تطلب الرقم هكذا ٩ الرمل ١٥ بدلا من الرمل ١٥٩ مثلا,3
349,ومقياس الصحة عندها مقدار ما يصيبه المرء من طعام,3
350,فأصح الناس من يلتهمه التهاما ويأتى على ما أمامه كأنه لن يصيب رزقه غدا,5
351,فأكثر الناس صحة من يلتهمه التهاما ويأتى على ما أمامه كأنه لن يصيب رزقه غدا,3
352,بل قيمة المرء رهن بذلك,4
353,بل قيمة المرء تتوقف على ذلك,3
354,فأحق الناس بالإكبار الأكول البطين أما من يأكل بقدر أو لا يأكل حتى يجوع فهو طفل لم يكبر ولم يشب عن الطوق ولو جلله الشيب وقوست قناته السنون أو الحادثات,5
355,فأحق الناس بالإجلال الأكول عظيم البطن أما من يأكل بقدر أو لا يأكل حتى يجوع فهو طفل لم يكبر ولم يشب عن الطوق ولو جلله الشيب وقوست عصاته السنون أو الحادثات,4
356,فأحق الناس بالإجلال الأكول عظيم البطن أما من يأكل بقدر أو لا يأكل حتى يجوع فهو طفل لم يكبر ولم يكبر على الطوق ولو جلله الشيب وقوست عصاته السنون أو الحادثات,3
357,وأثمن ما تهديه من النصائح إلى المريض أو الضعيف أو الحزين أن كل ثم كل ثم كل,3
358,هذا عندنا الدواء من الحمى والمغص والصداع الخ,3
359,ولا تصدق الأطباء فإنهم يميتون الناس قبل أن تفرغ آجالهم,3
360,وما بعجيب بعد ذلك أن صغر في عينها صاحبنا إبراهيم وإن كان قد ناهز الثامنة والعشرين وماتت له زوجة وبنون لم يعش منهم إلا واحد,5
361,وما بعجيب بعد ذلك أن صغر في عينها صاحبنا إبراهيم وإن كان قد أوشك على الثامنة والعشرين وماتت له زوجة وبنون لم يعش منهم إلا واحد,3
362,وجعلت تسأله على الطعام عن صحته,3
363,وعن العملية الجراحية التي أجريت له وكيف احتمل الكلوروفورم — أو البنج كما تعرفه — وعن المستشفى الذي أقام به حتى شفي وتقول يا ابن خالتي,4
364,وعن العملية بالجراحة التي أجريت له وكيف احتمل الكلوروفورم — أو البنج كما تعرفه — وعن المستشفى الذي أقام به حتى شفي وتقول يا ابن خالتي,3
365,كيف رضيت بالبنج,3
366,فيقول وهل كان من الممكن أن أحتمل العملية بغير ذلك,3
367,فتهز رأسها غير مصدقة,5
368,فتهز رأسها غير واثقة,3
369,وتسأل وهل كانت العملية ضرورية,3
370,لقد لبثت لا أنام منذ علمت بخبرها,4
371,لقد بقيت لا أنام منذ علمت بخبرها,3
372,حتى طمأنني ابن عمي وأنبأني أنك خرجت من المستشفى,3
373,ومع ذلك لم أطمئن تماما إلا بعد أن علمت أنك آت إلينا,3
374,وكيف صحتك الآن,4
375,وكيف صحتك حاليا,3
376,كما ترين,3
377,حسنة,3
378,لقد كان دخولك المستشفى حماقة,4
379,لقد كان دخولك المستشفى سخافة,3
380,فكر,3
381,إن المستشفى كالمجزرة,4
382,إن المستشفى كالجزارة,3
383,ولا بد أنه مملوء بالعفاريت,4
384,ولا مفر أنه مملوء بالعفاريت,3
385,لا,3
386,لا,3
387,لا عفاريت ولا,3
388,كيف يمكن,3
389,الدم,3
390,والذين يموتون فيه,3
391,إن بيتنا هذا جديد,3
392,ومع ذلك فيه عفاريت,3
393,ولو كان زوجي هنا لقص عليك كيف تطلع وتنزل كالمعيز على السلم الخشبي,5
394,ولو كان زوجي هنا لروى عليك كيف تطلع وتنزل كالمعيز على السلم الخشبي,4
395,ولو كان زوجي هنا لروى لك كيف تطلع وتنزل كالمعيز على السلم الخشبي,3
396,ابن ابن خالتي ينام وحده في ذلك الجناح,4
397,ابن ابن خالتي ينام بمفرده في ذلك الجناح,3
398,ولا يحسن أن يعرف هذه الحكاية التي سمعناها مائة مرة,3
399,فقال إبراهيم دعيها يا شوشو تقصها,5
400,فقال إبراهيم اتركيها يا شوشو ترويها,3
401,فإن سير العفاريت لا تفزعني,3
402,ولكم تمنيت أن يظهر لي عفريت,3
